Deformación por compresión;Esfuerzo de compresión
(mm/mm);(MPa)
0,04347;3,12637
0,0435;3,12768
0,04355;3,13057
0,04359;3,1329
0,04363;3,13242
0,04367;3,13393
0,04371;3,13527
0,04376;3,13809
0,0438;3,13801
0,04384;3,14063
0,0439;3,14267
0,04394;3,14133
0,04398;3,13902
0,04402;3,14094
0,04406;3,14311
0,0441;3,14585
0,04414;3,14902
0,04418;3,15047
0,04422;3,15059
0,04427;3,15275
0,04431;3,15413
0,04435;3,15294
0,0444;3,15812
0,04445;3,16017
0,04449;3,15668
0,04453;3,15598
0,04456;3,1591
0,0446;3,16123
0,04465;3,1643
0,04469;3,16325
0,04473;3,16354
0,04477;3,1661
0,04482;3,16951
0,04486;3,16834
0,0449;3,16849
0,04495;3,1737
0,045;3,17184
0,04503;3,16934
0,04507;3,17175
0,04511;3,17411
0,04516;3,1752
0,0452;3,17746
0,04524;3,17685
0,04528;3,17892
0,04532;3,18004
0,04537;3,18306
0,04541;3,18179
0,04546;3,18335
0,04551;3,188
0,04555;3,18245
0,04559;3,18063
0,04563;3,18557
0,04566;3,18631
0,04571;3,1906
0,04575;3,19003
0,04579;3,19118
0,04583;3,19311
0,04588;3,1948
0,04592;3,19352
0,04596;3,19532
0,04601;3,1986
0,04606;3,19978
0,04609;3,19552
0,04613;3,19808
0,04617;3,19701
0,04621;3,19876
0,04625;3,20177
0,0463;3,20402
0,04634;3,20526
0,04639;3,20745
0,04643;3,20557
0,04647;3,20548
0,04652;3,20692
0,04656;3,21011
0,0466;3,20816
0,04664;3,20527
0,04668;3,21065
0,04672;3,21053
0,04677;3,21274
0,04681;3,21335
0,04684;3,2112
0,04689;3,21435
0,04694;3,21832
0,04698;3,21531
0,04702;3,21424
0,04707;3,22003
0,04711;3,21869
0,04715;3,21409
0,04719;3,21502
0,04723;3,21889
0,04727;3,22097
0,04731;3,22203
0,04735;3,22464
0,04739;3,22374
0,04744;3,2262
0,04748;3,22623
0,04752;3,22455
0,04757;3,22646
0,04763;3,22971
0,04766;3,2226
0,0477;3,22465
0,04774;3,22391
0,04778;3,22712
0,04782;3,23127
0,04786;3,23119
0,0479;3,23083
0,04795;3,23227
0,048;3,23287
0,04804;3,23222
0,04808;3,23133
0,04813;3,23579
